QS_Phylonet5,#ofGenes
1401,1
1458,2
1372,3
1317,4
1508,5
933,6
1338,7
1477,8
1498,9
1390,10
1363,11
1502,12
1540,13
1524,14
1534,15
1508,16
1488,17
1527,18
1520,19
1411,20
