,FNRATE
0, 0.25
1, 0.25
2, 0.125
3, 0.0
4, 0.25
5, 0.5
6, 0.25
7, 0.0
8, 0.0
9, 0.125
10, 0.125
11, 0.125
12, 0.0
13, 0.125
14, 0.125
15, 0.0
16, 0.0
17, 0.25
18, 0.0
19, 0.375
