EL_Astral200,#ofGenes
2925,1
2791,2
2993,3
2903,4
2854,5
2801,6
2688,7
2916,8
2775,9
2995,10
2794,11
2929,12
2875,13
2911,14
2929,15
2792,16
2869,17
2858,18
2854,19
2849,20
