QS_True800,#ofGenes
45039889,1
45176922,2
45028671,3
45103822,4
44985019,5
45193545,6
45028725,7
44966923,8
45017281,9
45097327,10
45250347,11
44898586,12
45098852,13
45073971,14
45109259,15
45341615,16
45328959,17
45099484,18
45112384,19
44981215,20
