QS_True50,#ofGenes
15510,1
15319,2
15202,3
15512,4
15294,5
15222,6
15202,7
15504,8
15470,9
15256,10
15250,11
15504,12
15500,13
15362,14
15312,15
15594,16
15650,17
15638,18
15496,19
15454,20
