QS_True100,#ofGenes
26387,1
26728,2
26928,3
26594,4
27249,5
26196,6
26979,7
27475,8
27358,9
26530,10
26781,11
26819,12
26689,13
26474,14
25918,15
26228,16
26785,17
26591,18
26338,19
26684,20
