QS_True15,#ofGenes
4369,1
4317,2
4107,3
4488,4
4498,5
4352,6
4166,7
3939,8
4428,9
4356,10
4081,11
4337,12
4304,13
4209,14
4498,15
4621,16
4220,17
4197,18
4161,19
4410,20
