EL_Astral50,#ofGenes
1002,1
975,2
954,3
1055,4
1010,5
1073,6
1034,7
1035,8
1110,9
991,10
980,11
1043,12
1253,13
1045,14
1047,15
1061,16
1012,17
1104,18
1118,19
944,20
