QS_True200,#ofGenes
11934386,1
11919753,2
12017522,3
11963189,4
11917857,5
11980934,6
11937222,7
11959857,8
11992424,9
11884972,10
11960099,11
11901439,12
11946665,13
11876222,14
11935031,15
11983504,16
11880298,17
11902447,18
11983425,19
11997935,20
