,FNRATE_EXACT
0, 0.125
1, 0.0
2, 0.125
3, 0.125
4, 0.125
5, 0.0
6, 0.125
7, 0.125
8, 0.0
9, 0.0
10, 0.0
11, 0.125
12, 0.0
13, 0.125
14, 0.0
15, 0.0
16, 0.0
17, 0.125
18, 0.0
19, 0.0
