QS_Phylonet25,#ofGenes
6956,1
7196,2
6550,3
7237,4
7368,5
6950,6
6980,7
7276,8
7264,9
6995,10
7302,11
7067,12
6983,13
7310,14
7437,15
7371,16
7081,17
6864,18
7331,19
7174,20
