,FNRATE
0, 0.125
1, 0.0
2, 0.0
3, 0.0
4, 0.125
5, 0.0
6, 0.125
7, 0.125
8, 0.125
9, 0.125
10, 0.125
11, 0.0
12, 0.125
13, 0.0
14, 0.125
15, 0.125
16, 0.0
17, 0.0
18, 0.0
19, 0.0
