QS_Astral400,#ofGenes
22580510,1
22557463,2
22458442,3
22420106,4
22616773,5
22660287,6
22566548,7
22397108,8
22512973,9
22604999,10
22726265,11
22467617,12
22515307,13
22513418,14
22482028,15
22488081,16
22541964,17
22478271,18
22543440,19
22556891,20
