EL_Phylonet100,#ofGenes
1876,1
1845,2
1864,3
2052,4
2071,5
1950,6
1925,7
2055,8
2070,9
1945,10
1960,11
1943,12
2073,13
1973,14
2029,15
2021,16
1895,17
1974,18
2013,19
1872,20
