EL_Astral100,#ofGenes
1990,1
1927,2
1923,3
2268,4
2144,5
1987,6
2026,7
2221,8
2186,9
1992,10
2094,11
2126,12
2270,13
2253,14
2157,15
2071,16
2080,17
2110,18
2139,19
2118,20
