QS_Astral25,#ofGenes
6703,1
6592,2
6494,3
6543,4
6977,5
6533,6
6702,7
7004,8
6667,9
6821,10
6570,11
6684,12
6876,13
6484,14
6833,15
6573,16
6786,17
6605,18
6703,19
6758,20
