QS_Phylonet25,#ofGenes
6565,1
6344,2
6396,3
6394,4
6977,5
6418,6
6549,7
6919,8
6638,9
6821,10
6449,11
6644,12
6731,13
6306,14
6671,15
6465,16
6786,17
6552,18
6603,19
6611,20
