,FNRATE
0, 0.25
1, 0.25
2, 0.125
3, 0.25
4, 0.25
5, 0.125
6, 0.25
7, 0.25
8, 0.25
9, 0.25
10, 0.125
11, 0.125
12, 0.25
13, 0.125
14, 0.375
15, 0.25
16, 0.25
17, 0.375
18, 0.125
19, 0.5
