QS_Phylonet200,#ofGenes
11894762,1
11891036,2
11979939,3
11948175,4
11898176,5
11956277,6
11916956,7
11949250,8
11944077,9
11848849,10
11945900,11
11886577,12
11920513,13
11864557,14
11908292,15
11963706,16
11862130,17
11883514,18
11951166,19
11966291,20
