QS_Astral800,#ofGenes
45039889,1
45176922,2
45028671,3
45104132,4
44985019,5
45193864,6
45028725,7
44966923,8
45017281,9
45098486,10
45250347,11
44898586,12
45098852,13
45073971,14
45109259,15
45342669,16
45328959,17
45099484,18
45112384,19
44983066,20
