,FNRATE_EXACT
0, 0.0
1, 0.0
2, 0.0
3, 0.125
4, 0.0
5, 0.125
6, 0.125
7, 0.125
8, 0.0
9, 0.25
10, 0.125
11, 0.25
12, 0.125
13, 0.125
14, 0.0
15, 0.25
16, 0.125
17, 0.125
18, 0.0
19, 0.125
