QS_True5,#ofGenes
1518,1
1528,2
1536,3
1516,4
1548,5
1566,6
1512,7
1524,8
1448,9
1502,10
1482,11
1548,12
1560,13
1526,14
1534,15
1518,16
1598,17
1562,18
1546,19
1488,20
