EL_True200,#ofGenes
3172,1
3134,2
3254,3
3163,4
3099,5
3054,6
2968,7
3138,8
3110,9
3284,10
3045,11
3203,12
3196,13
3317,14
3134,15
3075,16
3087,17
3108,18
3164,19
3084,20
