EL_Astral200,#ofGenes
2552,1
2462,2
2545,3
2524,4
2474,5
2400,6
2372,7
2504,8
2492,9
2573,10
2385,11
2572,12
2488,13
2540,14
2491,15
2451,16
2459,17
2458,18
2434,19
2520,20
