EL_Phylonet200,#ofGenes
2452,1
2422,2
2512,3
2473,4
2418,5
2367,6
2355,7
2429,8
2431,9
2480,10
2379,11
2472,12
2435,13
2473,14
2422,15
2387,16
2400,17
2423,18
2375,19
2422,20
