QS_True15,#ofGenes
4894,1
4838,2
4926,3
4886,4
4934,5
4788,6
4862,7
4846,8
4894,9
4902,10
4918,11
4832,12
4854,13
4912,14
4848,15
4848,16
4824,17
4830,18
4902,19
4888,20
