QS_Astral200,#ofGenes
11567521,1
11634185,2
11531822,3
11500564,4
11691463,5
11665594,6
11645880,7
11537947,8
11555131,9
11585349,10
11608030,11
11539880,12
11542499,13
11598351,14
11587391,15
11631278,16
11593217,17
11496058,18
11600968,19
11619701,20
