QS_Phylonet100,#ofGenes
26453,1
25850,2
26298,3
25903,4
27140,5
25489,6
26572,7
27020,8
27231,9
26548,10
26011,11
26229,12
26043,13
25867,14
25495,15
25812,16
25996,17
25893,18
25671,19
26092,20
