QS_True25,#ofGenes
8154,1
8098,2
8130,3
8180,4
8178,5
8148,6
8122,7
8146,8
8212,9
8068,10
8130,11
8108,12
8140,13
8140,14
8170,15
8110,16
8118,17
8130,18
8124,19
8170,20
