QS_True100,#ofGenes
5639065,1
5728864,2
5651738,3
5550303,4
5628844,5
5668052,6
5667729,7
5578366,8
5612379,9
5671772,10
5637810,11
5609317,12
5578013,13
5645242,14
5619943,15
5626253,16
5676679,17
5595050,18
5617779,19
5602013,20
