QS_True200,#ofGenes
11567521,1
11634185,2
11531822,3
11500564,4
11690145,5
11665594,6
11644864,7
11535123,8
11554757,9
11569474,10
11608030,11
11537917,12
11537141,13
11595708,14
11587092,15
11629912,16
11592929,17
11496058,18
11600968,19
11619595,20
