QS_Phylonet200,#ofGenes
11539297,1
11618297,2
11525548,3
11472942,4
11655195,5
11631773,6
11632339,7
11523757,8
11542063,9
11566558,10
11593608,11
11514136,12
11516643,13
11589840,14
11581517,15
11611259,16
11567176,17
11480594,18
11588751,19
11612370,20
