QS_True5,#ofGenes
1346,1
1277,2
1257,3
1324,4
1345,5
1390,6
1254,7
1397,8
1318,9
1237,10
1306,11
1326,12
1258,13
1332,14
1354,15
1261,16
1307,17
1391,18
1408,19
2720,20
