QS_Phylonet5,#ofGenes
1382,1
1311,2
1287,3
1339,4
1356,5
1390,6
1314,7
1428,8
1326,9
1262,10
1286,11
1369,12
1281,13
1359,14
1370,15
1330,16
1307,17
1378,18
1408,19
2839,20
