QS_Astral5,#ofGenes
1542,1
1528,2
1536,3
1516,4
1548,5
1566,6
1520,7
1596,8
1496,9
1502,10
1490,11
1548,12
1568,13
1526,14
1542,15
1518,16
1598,17
1562,18
1546,19
1488,20
