QS_True15,#ofGenes
4672,1
4508,2
4706,3
4654,4
4478,5
4630,6
4514,7
4736,8
4566,9
4602,10
4560,11
4648,12
4668,13
4736,14
4612,15
4632,16
4554,17
4762,18
4614,19
4538,20
