QS_Astral100,#ofGenes
32582,1
32506,2
32664,3
32674,4
32608,5
32544,6
32374,7
32468,8
32610,9
32520,10
32556,11
32522,12
32378,13
32460,14
32618,15
32440,16
32524,17
32506,18
32666,19
32518,20
